Round,MaxUsers,UserID,UserType,CQI,Bandwidth,Rate,TotalBandwidth,ResourceUtilization,TotalEMBBRate,TotalURLLCRate
1,1,1,eMBB,13,20.0,264.25,20.0,22.22,264.25,0
2,5,1,eMBB,13,20.0,264.25,70.0,50.0,869.66,132.12
2,5,2,eMBB,15,20.0,302.7,70.0,50.0,869.66,132.12
2,5,5,eMBB,15,20.0,302.7,70.0,50.0,869.66,132.12
2,5,3,URLLC,13,5.0,66.06,70.0,50.0,869.66,132.12
2,5,4,URLLC,13,5.0,66.06,70.0,50.0,869.66,132.12
3,10,1,eMBB,13,20.0,264.25,110.0,94.44,1172.36,425.21
3,10,2,eMBB,15,20.0,302.7,110.0,94.44,1172.36,425.21
3,10,5,eMBB,15,20.0,302.7,110.0,94.44,1172.36,425.21
3,10,9,eMBB,15,20.0,302.7,110.0,94.44,1172.36,425.21
3,10,3,URLLC,13,5.0,66.06,110.0,94.44,1172.36,425.21
3,10,4,URLLC,13,5.0,66.06,110.0,94.44,1172.36,425.21
3,10,6,URLLC,15,5.0,75.68,110.0,94.44,1172.36,425.21
3,10,7,URLLC,15,5.0,75.68,110.0,94.44,1172.36,425.21
3,10,8,URLLC,15,5.0,75.68,110.0,94.44,1172.36,425.21
3,10,10,URLLC,13,5.0,66.06,110.0,94.44,1172.36,425.21
4,15,1,eMBB,13,12.9,170.44,120.0,100.0,1337.36,432.43
4,15,2,eMBB,15,12.89,195.05,120.0,100.0,1337.36,432.43
4,15,5,eMBB,15,12.81,193.83,120.0,100.0,1337.36,432.43
4,15,9,eMBB,15,12.83,194.24,120.0,100.0,1337.36,432.43
4,15,13,eMBB,15,12.83,194.18,120.0,100.0,1337.36,432.43
4,15,14,eMBB,15,12.85,194.48,120.0,100.0,1337.36,432.43
4,15,15,eMBB,15,12.89,195.14,120.0,100.0,1337.36,432.43
4,15,3,URLLC,13,3.75,49.57,120.0,100.0,1337.36,432.43
4,15,4,URLLC,13,3.75,49.56,120.0,100.0,1337.36,432.43
4,15,6,URLLC,15,3.75,56.75,120.0,100.0,1337.36,432.43
4,15,7,URLLC,15,3.75,56.75,120.0,100.0,1337.36,432.43
4,15,8,URLLC,15,3.75,56.75,120.0,100.0,1337.36,432.43
4,15,10,URLLC,13,3.75,49.5,120.0,100.0,1337.36,432.43
4,15,11,URLLC,15,3.75,56.76,120.0,100.0,1337.36,432.43
4,15,12,URLLC,15,3.75,56.79,120.0,100.0,1337.36,432.43
5,20,1,eMBB,13,9.99,132.05,120.0,100.0,1342.95,438.32
5,20,2,eMBB,15,9.99,151.26,120.0,100.0,1342.95,438.32
5,20,5,eMBB,15,10.0,151.36,120.0,100.0,1342.95,438.32
5,20,9,eMBB,15,10.0,151.38,120.0,100.0,1342.95,438.32
5,20,13,eMBB,15,10.0,151.39,120.0,100.0,1342.95,438.32
5,20,14,eMBB,15,10.0,151.39,120.0,100.0,1342.95,438.32
5,20,15,eMBB,15,10.0,151.38,120.0,100.0,1342.95,438.32
5,20,16,eMBB,15,10.0,151.37,120.0,100.0,1342.95,438.32
5,20,19,eMBB,15,10.0,151.36,120.0,100.0,1342.95,438.32
5,20,3,URLLC,13,2.73,36.04,120.0,100.0,1342.95,438.32
5,20,4,URLLC,13,2.73,36.04,120.0,100.0,1342.95,438.32
5,20,6,URLLC,15,2.73,41.28,120.0,100.0,1342.95,438.32
5,20,7,URLLC,15,2.73,41.28,120.0,100.0,1342.95,438.32
5,20,8,URLLC,15,2.73,41.29,120.0,100.0,1342.95,438.32
5,20,10,URLLC,13,2.73,36.03,120.0,100.0,1342.95,438.32
5,20,11,URLLC,15,2.73,41.28,120.0,100.0,1342.95,438.32
5,20,12,URLLC,15,2.73,41.28,120.0,100.0,1342.95,438.32
5,20,17,URLLC,15,2.73,41.27,120.0,100.0,1342.95,438.32
5,20,18,URLLC,15,2.73,41.27,120.0,100.0,1342.95,438.32
5,20,20,URLLC,15,2.73,41.27,120.0,100.0,1342.95,438.32
6,25,1,eMBB,13,7.57,100.0,120.0,100.0,1340.38,440.74
6,25,2,eMBB,15,7.49,113.42,120.0,100.0,1340.38,440.74
6,25,5,eMBB,15,7.49,113.42,120.0,100.0,1340.38,440.74
6,25,9,eMBB,15,7.49,113.42,120.0,100.0,1340.38,440.74
6,25,13,eMBB,15,7.49,113.41,120.0,100.0,1340.38,440.74
6,25,14,eMBB,15,7.49,113.41,120.0,100.0,1340.38,440.74
6,25,15,eMBB,15,7.49,113.41,120.0,100.0,1340.38,440.74
6,25,16,eMBB,15,7.49,113.42,120.0,100.0,1340.38,440.74
6,25,19,eMBB,15,7.49,113.42,120.0,100.0,1340.38,440.74
6,25,21,eMBB,14,7.49,106.19,120.0,100.0,1340.38,440.74
6,25,22,eMBB,15,7.49,113.42,120.0,100.0,1340.38,440.74
6,25,24,eMBB,15,7.49,113.43,120.0,100.0,1340.38,440.74
6,25,3,URLLC,13,2.31,30.49,120.0,100.0,1340.38,440.74
6,25,4,URLLC,13,2.31,30.49,120.0,100.0,1340.38,440.74
6,25,6,URLLC,15,2.31,34.92,120.0,100.0,1340.38,440.74
6,25,7,URLLC,15,2.31,34.92,120.0,100.0,1340.38,440.74
6,25,8,URLLC,15,2.31,34.93,120.0,100.0,1340.38,440.74
6,25,10,URLLC,13,2.31,30.49,120.0,100.0,1340.38,440.74
6,25,11,URLLC,15,2.31,34.93,120.0,100.0,1340.38,440.74
6,25,12,URLLC,15,2.31,34.93,120.0,100.0,1340.38,440.74
6,25,17,URLLC,15,2.31,34.93,120.0,100.0,1340.38,440.74
6,25,18,URLLC,15,2.31,34.93,120.0,100.0,1340.38,440.74
6,25,20,URLLC,15,2.31,34.93,120.0,100.0,1340.38,440.74
6,25,23,URLLC,15,2.31,34.93,120.0,100.0,1340.38,440.74
6,25,25,URLLC,15,2.31,34.93,120.0,100.0,1340.38,440.74
7,30,1,eMBB,13,7.57,100.0,120.0,100.0,1341.82,443.24
7,30,2,eMBB,15,6.61,100.0,120.0,100.0,1341.82,443.24
7,30,5,eMBB,15,6.61,100.0,120.0,100.0,1341.82,443.24
7,30,9,eMBB,15,6.61,100.0,120.0,100.0,1341.82,443.24
7,30,13,eMBB,15,6.61,100.0,120.0,100.0,1341.82,443.24
7,30,14,eMBB,15,6.61,100.0,120.0,100.0,1341.82,443.24
7,30,15,eMBB,15,6.61,100.0,120.0,100.0,1341.82,443.24
