Round,MaxUsers,UserID,UserType,CQI,Bandwidth,Rate,TotalBandwidth,ResourceUtilization,TotalEMBBRate,TotalURLLCRate
1,1,1,eMBB,15,20.0,302.7,20.0,22.22,302.7,0
2,5,1,eMBB,15,20.0,302.7,40.0,44.44,302.7,214.48
2,5,2,URLLC,15,5.0,75.68,40.0,44.44,302.7,214.48
2,5,3,URLLC,11,5.0,56.66,40.0,44.44,302.7,214.48
2,5,4,URLLC,8,5.0,43.19,40.0,44.44,302.7,214.48
2,5,5,URLLC,7,5.0,38.95,40.0,44.44,302.7,214.48
3,10,1,eMBB,15,20.0,302.7,110.0,94.44,1191.5,328.12
3,10,7,eMBB,15,20.0,302.7,110.0,94.44,1191.5,328.12
3,10,8,eMBB,14,20.0,283.39,110.0,94.44,1191.5,328.12
3,10,10,eMBB,15,20.0,302.7,110.0,94.44,1191.5,328.12
3,10,2,URLLC,15,5.0,75.68,110.0,94.44,1191.5,328.12
3,10,3,URLLC,11,5.0,56.66,110.0,94.44,1191.5,328.12
3,10,4,URLLC,8,5.0,43.19,110.0,94.44,1191.5,328.12
3,10,5,URLLC,7,5.0,38.95,110.0,94.44,1191.5,328.12
3,10,6,URLLC,9,5.0,47.57,110.0,94.44,1191.5,328.12
3,10,9,URLLC,13,5.0,66.06,110.0,94.44,1191.5,328.12
4,15,1,eMBB,15,11.02,166.82,120.0,100.0,1111.58,346.1
4,15,7,eMBB,15,11.02,166.76,120.0,100.0,1111.58,346.1
4,15,8,eMBB,14,11.02,156.12,120.0,100.0,1111.58,346.1
4,15,10,eMBB,15,11.03,166.95,120.0,100.0,1111.58,346.1
4,15,11,eMBB,10,11.03,114.91,120.0,100.0,1111.58,346.1
4,15,12,eMBB,12,11.02,135.14,120.0,100.0,1111.58,346.1
4,15,13,eMBB,9,11.02,104.88,120.0,100.0,1111.58,346.1
4,15,15,eMBB,7,12.84,100.0,120.0,100.0,1111.58,346.1
4,15,2,URLLC,15,4.29,64.86,120.0,100.0,1111.58,346.1
4,15,3,URLLC,11,4.29,48.56,120.0,100.0,1111.58,346.1
